,_id,ID,Name,global_id,Photo,AdmArea,District,DepartmentalAffiliation,Address,Capacity,ObjectOperOrgName,ObjectOperOrgPhone,Longitude_WGS84,Latitude_WGS84,geoData,geodata_center
0,624b10b84174701856b96df4,32,Велосипедная парковка № 37124 «Гимназия № 1506»,2757725,4b2327b3-55af-4ff1-ab55-786c1d199557,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Широкая улица, дом 1А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.650781,55.889628,"{'coordinates': [37.650781, 55.889628], 'type': 'Point'}","{'coordinates': [37.650781, 55.889628], 'type': 'Point'}"
1,624b10b84174701856b96df5,35,Велосипедная парковка № 37018 «Школа здоровья № 266»,2757728,87a68eb2-aa64-47e7-8970-998244ba36bd,Северо-Восточный административный округ,район Лианозово,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Череповецкая улица, дом 10А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.570777,55.896533,"{'coordinates': [37.570777, 55.896533], 'type': 'Point'}","{'coordinates': [37.570777, 55.896533], 'type': 'Point'}"
2,624b10b84174701856b96df6,36,Велосипедная парковка № 37106 «Центр образования № 1459»,2757729,da0d57c7-03f4-47d7-b7e6-291d87f517bd,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Отрадная улица, дом 11А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.612922,55.857407,"{'coordinates': [37.612922, 55.857407], 'type': 'Point'}","{'coordinates': [37.612922, 55.857407], 'type': 'Point'}"
3,624b10b84174701856b96df7,38,Велосипедная парковка № 37017 «Школа № 263»,2757731,21da1cde-ed77-4508-880a-bf29ff90db84,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Отрадная улица, дом 11Б",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.613732,55.856873,"{'coordinates': [37.613732, 55.856873], 'type': 'Point'}","{'coordinates': [37.613732, 55.856873], 'type': 'Point'}"
4,624b10b84174701856b96df8,40,Велосипедная парковка № 37061 «Школа № 950»,2757733,9e8b9d52-6939-478e-ae10-20dd9dffd969,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Отрадная улица, дом 1А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.604736,55.859911,"{'coordinates': [37.604736, 55.859911], 'type': 'Point'}","{'coordinates': [37.604736, 55.859911], 'type': 'Point'}"
5,624b10b84174701856b96df9,2,Велосипедная парковка № 37026 «Школа № 301»,2757735,89259401-36c8-4b51-b6af-8752032c53bf,Северо-Восточный административный округ,Алтуфьевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Алтуфьевское шоссе, дом 60Б",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.591231,55.883355,"{'coordinates': [37.591231, 55.883355], 'type': 'Point'}","{'coordinates': [37.591231, 55.883355], 'type': 'Point'}"
6,624b10b84174701856b96dfa,5,Велосипедная парковка № 37085 «Школа № 1414»,2757738,6b46272a-c85b-404e-86f9-6de2a03fdcf4,Северо-Восточный административный округ,район Марьина Роща,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Советской Армии, дом 9",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.616177,55.789416,"{'coordinates': [37.616177, 55.789416], 'type': 'Point'}","{'coordinates': [37.616177, 55.789416], 'type': 'Point'}"
7,624b10b84174701856b96dfb,7,Велосипедная парковка № 37004 «Школа № 242»,2757740,e707d6b5-6b5d-4406-b5fe-c41871723a1b,Северо-Восточный административный округ,район Марьина Роща,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"1-й проезд Марьиной Рощи, дом 3А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.622192,55.793707,"{'coordinates': [37.622192, 55.793707], 'type': 'Point'}","{'coordinates': [37.622192, 55.793707], 'type': 'Point'}"
8,624b10b84174701856b96dfc,8,Велосипедная парковка № 37158 «Спецшкола - интернат № 35»,2757741,2676ca53-7b00-4fae-98b4-6712f07ffe43,Северо-Восточный административный округ,район Марьина Роща,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Новосущёвская улица, дом 7",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.603125,55.787099,"{'coordinates': [37.603125, 55.787099], 'type': 'Point'}","{'coordinates': [37.603125, 55.787099], 'type': 'Point'}"
9,624b10b84174701856b96dfd,12,Велосипедная парковка № 37096 «Центр образования № 293»,2757745,8a2dd79b-88f2-4f24-9744-a18582d6a6ee,Северо-Восточный административный округ,Алексеевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Ярославская улица, дом 27",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.653290,55.827312,"{'coordinates': [37.65329, 55.827312], 'type': 'Point'}","{'coordinates': [37.65329, 55.827312], 'type': 'Point'}"
10,624b10b84174701856b96dfe,30,Велосипедная парковка № 37080 «Школа № 1380»,2757751,c42b2c8b-3ed9-4a54-9101-c965eee0bf7d,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Тихомирова, дом 10",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.651831,55.884897,"{'coordinates': [37.651831, 55.884897], 'type': 'Point'}","{'coordinates': [37.651831, 55.884897], 'type': 'Point'}"
11,624b10b84174701856b96dff,75,Велосипедная парковка № 37123 «Гимназия № 1503»,2757753,224caf27-494a-4b50-898f-b541ae2d85f5,Северо-Восточный административный округ,Алексеевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Константинова, дом 20, корпус 1",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.658057,55.817218,"{'coordinates': [37.658057, 55.817218], 'type': 'Point'}","{'coordinates': [37.658057, 55.817218], 'type': 'Point'}"
12,624b10b84174701856b96e00,76,Велосипедная парковка № 37093 «Школа надомного обучения № 410»,2757754,dd7dd55f-b7f5-452e-ab9c-84bf92219e21,Северо-Восточный административный округ,район Ростокино,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Докукина, дом 5",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.653677,55.837235,"{'coordinates': [37.653677, 55.837235], 'type': 'Point'}","{'coordinates': [37.653677, 55.837235], 'type': 'Point'}"
13,624b10b84174701856b96e01,79,Велосипедная парковка № 37140 «Гимназия № 1577»,2757757,5e96c43c-0dea-4253-a1c0-c34e2c3cc3c8,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Ярославское шоссе, дом 8, корпус 6",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.690287,55.852798,"{'coordinates': [37.690287, 55.852798], 'type': 'Point'}","{'coordinates': [37.690287, 55.852798], 'type': 'Point'}"
14,624b10b84174701856b96e02,80,Велосипедная парковка № 37135 «Гимназия № 1558 им. Росалии де Кастро»,2757758,b72fffc6-4bcc-4d3d-a2e7-6e614c408fd6,Северо-Восточный административный округ,Бабушкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Чукотский проезд, дом 6",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.654481,55.868075,"{'coordinates': [37.654481, 55.868075], 'type': 'Point'}","{'coordinates': [37.654481, 55.868075], 'type': 'Point'}"
15,624b10b84174701856b96e03,83,Велосипедная парковка № 37045 «Школа № 750»,2757761,611414fb-f6bb-4f3d-9d77-83edd3c19085,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Палехская улица, дом 8",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.695943,55.864923,"{'coordinates': [37.695943, 55.864923], 'type': 'Point'}","{'coordinates': [37.695943, 55.864923], 'type': 'Point'}"
16,624b10b84174701856b96e04,88,Велосипедная парковка № 37051 «Школа № 753»,2757766,607d3a8c-57fe-4bfb-b3d8-8b45b05ab553,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Грекова, дом 20",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.664243,55.891110,"{'coordinates': [37.664243, 55.89111], 'type': 'Point'}","{'coordinates': [37.664243, 55.89111], 'type': 'Point'}"
17,624b10b84174701856b96e05,89,Велосипедная парковка № 37056 «Школа № 760 им. Маресьева»,2757767,7e1dad9d-de6f-4fae-88e4-aa2c838200c1,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Ярославское шоссе, дом 147",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.719983,55.880987,"{'coordinates': [37.719983, 55.880987], 'type': 'Point'}","{'coordinates': [37.719983, 55.880987], 'type': 'Point'}"
18,624b10b84174701856b96e06,91,Велосипедная парковка № 37146 «Лицей информационных технологий № 1537»,2757768,fbc9e7f2-fef3-4c50-a064-133a7b5faeb5,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Проходчиков, дом 9",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.718627,55.874295,"{'coordinates': [37.718627, 55.874295], 'type': 'Point'}","{'coordinates': [37.718627, 55.874295], 'type': 'Point'}"
19,624b10b84174701856b96e07,92,Велосипедная парковка № 37088 «Школа № 1955»,2757769,435d292d-1e84-4815-a2da-910d280c7a8f,Северо-Восточный административный округ,Лосиноостровский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Тайнинская улица, дом 15, корпус 3",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.683001,55.884724,"{'coordinates': [37.683001, 55.884724], 'type': 'Point'}","{'coordinates': [37.683001, 55.884724], 'type': 'Point'}"
20,624b10b84174701856b96e08,94,Велосипедная парковка № 37040 «Школа № 529»,2757771,fa04296f-9131-48cd-8062-9c5498df2567,Северо-Восточный административный округ,Лосиноостровский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"2-я Напрудная улица, дом 17",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.688892,55.879303,"{'coordinates': [37.688892, 55.879303], 'type': 'Point'}","{'coordinates': [37.688892, 55.879303], 'type': 'Point'}"
21,624b10b84174701856b96e09,95,Велосипедная парковка № 37053 «Школа № 756»,2757772,c46367d1-ff44-42d1-850d-3bb36e42eb09,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Грекова, дом 11А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.659036,55.890495,"{'coordinates': [37.659036, 55.890495], 'type': 'Point'}","{'coordinates': [37.659036, 55.890495], 'type': 'Point'}"
22,624b10b84174701856b96e0a,18,Велосипедная парковка № 37008 «Школа № 250»,2757774,47e4bee8-ebe9-47b5-9828-d65ea2e683f9,Северо-Восточный административный округ,Бутырский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Гончарова, дом 15Б",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.586505,55.817643,"{'coordinates': [37.586505, 55.817643], 'type': 'Point'}","{'coordinates': [37.586505, 55.817643], 'type': 'Point'}"
23,624b10b84174701856b96e0b,20,Велосипедная парковка № 37166 «Московский кадетский корпус Героев Космоса № 1783»,2757776,34b87e5f-8a18-4fcb-8d9a-0bdd2cf4c233,Северо-Восточный административный округ,Останкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"3-я Новоостанкинская улица, дом 6",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.626826,55.817960,"{'coordinates': [37.626826, 55.81796], 'type': 'Point'}","{'coordinates': [37.626826, 55.81796], 'type': 'Point'}"
24,624b10b84174701856b96e0c,23,Велосипедная парковка № 37122 «Гимназия № 1503»,2757779,af2c90cc-9499-46a1-b275-1de13c3e2128,Северо-Восточный административный округ,Алексеевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Павла Корчагина, дом 18",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.662338,55.818512,"{'coordinates': [37.662338, 55.818512], 'type': 'Point'}","{'coordinates': [37.662338, 55.818512], 'type': 'Point'}"
25,624b10b84174701856b96e0d,27,Велосипедная парковка № 37062 «Школа № 952»,2757783,7024409a-7cb4-4d48-986d-1d4d035e02b7,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Декабристов, дом 8, корпус 4",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.596589,55.863392,"{'coordinates': [37.596589, 55.863392], 'type': 'Point'}","{'coordinates': [37.596589, 55.863392], 'type': 'Point'}"
26,624b10b84174701856b96e0e,96,Велосипедная парковка № 37021 «Школа № 290»,2757785,ee45ecb8-1fbc-4a64-a30d-f0cc471b748b,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Грекова, дом 11Б",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.656971,55.890503,"{'coordinates': [37.656971, 55.890503], 'type': 'Point'}","{'coordinates': [37.656971, 55.890503], 'type': 'Point'}"
27,624b10b84174701856b96e0f,52,Велосипедная парковка № 37065 «Школа № 958»,2757788,797b964d-8900-463e-a7e1-d5f75115193b,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Северный бульвар, дом 11",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.608500,55.868309,"{'coordinates': [37.6085, 55.868309], 'type': 'Point'}","{'coordinates': [37.6085, 55.868309], 'type': 'Point'}"
28,624b10b84174701856b96e10,53,Велосипедная парковка № 37037 «Школа № 332»,2757789,7c098476-6e28-4085-99d9-21beee34a2b8,Северо-Восточный административный округ,район Бибирево,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Корнейчука, дом 52А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.625845,55.895538,"{'coordinates': [37.625845, 55.895538], 'type': 'Point'}","{'coordinates': [37.625845, 55.895538], 'type': 'Point'}"
29,624b10b84174701856b96e11,55,Велосипедная парковка № 37118 «Центр образования № 1682»,2757791,db8d87b7-db74-4d23-a2f5-dcdcc7039447,Северо-Восточный административный округ,район Бибирево,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Корнейчука, дом 14А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.609719,55.900882,"{'coordinates': [37.609719, 55.900882], 'type': 'Point'}","{'coordinates': [37.609719, 55.900882], 'type': 'Point'}"
30,624b10b84174701856b96e12,56,Велосипедная парковка № 37066 «Школа № 960»,2757792,90311369-84ab-481d-8280-be1e257863cc,Северо-Восточный административный округ,район Бибирево,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Конёнкова, дом 4А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.608144,55.888180,"{'coordinates': [37.608144, 55.88818], 'type': 'Point'}","{'coordinates': [37.608144, 55.88818], 'type': 'Point'}"
31,624b10b84174701856b96e13,57,Велосипедная парковка № 37005 «Школа № 245»,2757793,ff1cc54e-b994-40e1-b619-25fc40cc4fad,Северо-Восточный административный округ,район Бибирево,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Конёнкова, дом 10А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.612743,55.890883,"{'coordinates': [37.612743, 55.890883], 'type': 'Point'}","{'coordinates': [37.612743, 55.890883], 'type': 'Point'}"
32,624b10b84174701856b96e14,59,Велосипедная парковка № 37024 «Школа № 298»,2757794,9340d9d3-d31f-42a7-bf02-ac5e6dfb81dd,Северо-Восточный административный округ,Лосиноостровский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Изумрудная улица, дом 13, корпус 3",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.680794,55.872517,"{'coordinates': [37.680794, 55.872517], 'type': 'Point'}","{'coordinates': [37.680794, 55.872517], 'type': 'Point'}"
33,624b10b84174701856b96e15,60,Велосипедная парковка № 37149 «Спецшкола № 309»,2757795,b2d9ebf5-ca8f-404f-ab5c-04c2c6e783ea,Северо-Восточный административный округ,Бабушкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Коминтерна, дом 16, корпус 1",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.679557,55.863480,"{'coordinates': [37.679557, 55.86348], 'type': 'Point'}","{'coordinates': [37.679557, 55.86348], 'type': 'Point'}"
34,624b10b84174701856b96e16,61,Велосипедная парковка № 37147 «Лицей № 1568»,2757796,9dc78603-7f74-45eb-8971-3fcd56b7ff26,Северо-Восточный административный округ,район Южное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"проезд Шокальского, дом 7, корпус 2",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.642894,55.874799,"{'coordinates': [37.642894, 55.874799], 'type': 'Point'}","{'coordinates': [37.642894, 55.874799], 'type': 'Point'}"
35,624b10b84174701856b96e17,63,Велосипедная парковка № 37074 «Школа № 1237 им. Пабло Неруды»,2757798,893bbd1e-4c24-4c6c-87ac-bcb4f9b95848,Северо-Восточный административный округ,район Южное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"проезд Шокальского, дом 11, корпус 3",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.641773,55.874424,"{'coordinates': [37.641773, 55.874424], 'type': 'Point'}","{'coordinates': [37.641773, 55.874424], 'type': 'Point'}"
36,624b10b84174701856b96e18,67,Велосипедная парковка № 37060 «Школа № 910»,2757802,11e18172-8821-45bb-a7f5-0f6670971369,Северо-Восточный административный округ,Бабушкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Ленская улица, дом 6",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.671186,55.866220,"{'coordinates': [37.671186, 55.86622], 'type': 'Point'}","{'coordinates': [37.671186, 55.86622], 'type': 'Point'}"
37,624b10b84174701856b96e19,73,Велосипедная парковка № 37097 «Центр образования № 293»,2757808,baf92c98-d03f-4140-9edb-e8a4a00cea59,Северо-Восточный административный округ,Алексеевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Касаткина, дом 1",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.652070,55.826980,"{'coordinates': [37.65207, 55.82698], 'type': 'Point'}","{'coordinates': [37.65207, 55.82698], 'type': 'Point'}"
38,624b10b84174701856b96e1a,74,Велосипедная парковка № 37167 «Спортивно - адаптивная школа»,2757809,f4c2214d-30d0-48f4-8648-bb6a4fb41657,Северо-Восточный административный округ,Алексеевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Касаткина, дом 23",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.667592,55.823735,"{'coordinates': [37.667592, 55.823735], 'type': 'Point'}","{'coordinates': [37.667592, 55.823735], 'type': 'Point'}"
39,624b10b84174701856b96e1b,42,Велосипедная парковка № 37153 «Специальная начальная школа - детский сад № 1879»,2757813,11e5b11a-b1fa-4467-b1b7-67be6b4be37d,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Бестужевых, дом 27Б",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.614213,55.870720,"{'coordinates': [37.614213, 55.87072], 'type': 'Point'}","{'coordinates': [37.614213, 55.87072], 'type': 'Point'}"
40,624b10b84174701856b96e1c,44,Велосипедная парковка № 37117 «Центр образования № 1682»,2757815,9350b64b-253d-4d45-b483-bd97e63a9304,Северо-Восточный административный округ,район Бибирево,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Белозерская улица, дом 7",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.611677,55.898552,"{'coordinates': [37.611677, 55.898552], 'type': 'Point'}","{'coordinates': [37.611677, 55.898552], 'type': 'Point'}"
